0ad a23.1-10
0ad-data a23.1-2
a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-2
acl 2.2.53-3
acpilight 1.2-2
adobe-source-code-pro-fonts 2.030ro+1.050it-6
adobe-source-han-sans-cn-fonts 2.001-2
adobe-source-han-sans-hk-fonts 2.001-2
adobe-source-han-sans-jp-fonts 2.001-2
adobe-source-han-sans-kr-fonts 2.001-2
adobe-source-han-sans-otc-fonts 2.001-2
adobe-source-han-sans-tw-fonts 2.001-2
adobe-source-han-serif-cn-fonts 1.001-3
adobe-source-han-serif-jp-fonts 1.001-3
adobe-source-han-serif-kr-fonts 1.001-3
adobe-source-han-serif-otc-fonts 1.001-3
adobe-source-han-serif-tw-fonts 1.001-3
adobe-source-sans-pro-fonts 3.006-2
adobe-source-serif-pro-fonts 3.001-2
adwaita-icon-theme 3.36.1-1
afick-gui 3.6.1-1
aircrack-ng 1.6-2
alembic 1.7.12-4
all-repository-fonts 20200212-1
alsa-lib 1.2.3.2-1
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.3-1
alsa-ucm-conf 1.2.3-2
alsa-utils 1.2.3-2
amtk 5.0.2-1
android-file-transfer 3.9-2
android-tools 30.0.0-2
android-udev 20200613-1
aom 2.0.0-1
apache 2.4.43-1
appstream 0.12.11-1
appstream-glib 0.7.17-1
apr 1.7.0-3
apr-util 1.6.1-7
arandr 0.1.10-4
arch-wiki-docs 20200527-1
arch-wiki-lite 20190826-1
archlinux-keyring 20200622-1
argon2 20190702-3
aribb24 1.0.3-3
aspell 0.60.8-2
assimp 5.0.1-1
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
atkmm 2.28.0-2
attica 5.71.0-1
attr 2.4.48-3
audiofile 0.3.6-6
audit 2.8.5-6
augeas 1.12.0-2
autoconf 2.69-7
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-1
awesome-terminal-fonts 1.1.0-3
babl 0.1.78-1
bamf 0.5.4-2
baobab 3.34.1-1
base 2-2
bash 5.0.017-1
bc 1.07.1-4
bcg729 1.0.4-5
bdf-unifont 13.0.03-1
biber 1:2.14-2
binutils 2.34-5
bison 3.6.4-1
blas 3.9.0-3
blender 17:2.83.2-1
blosc 1.19.0-1
